email,sex,isLGBTQIA,age,civilStatus,isPasigueno,yearsInPasig,barangay,familyMonthlyIncome,religion,curricularProgram,academicStatus,workingStudent,deansLister,presidentsLister,feederSchool,strandInSHS,isPWD
a.adams@gmail.com,Male,No,21 years old,Single Parent,Yes,6 - 10 years,Malinao,"Between Php76,670 to Php131,484",Aglipay,BEED,Regular,No,No,No,Private,STEM,No
a.allen@gmail.com,Male,Yes,23 years old,Single Parent,Yes,11 - 15 years,Kalawaan,"Between Php9,520 to Php21,194",Undetermined,BEED,Regular,No,No,No,Private,HUMSS,No
a.baker@gmail.com,Male,No,below 18 years old,Widower,Yes,6 - 10 years,Bagong Katipunan,"Less than Php9,520",Born - Again Christian,BSCS,Regular,No,No,No,Public,Sports Track,No
a.brown@gmail.com,Female,No,21 years old,Living with Partner,Yes,less than 1 year,Bagong Katipunan,"Between Php43,839 to Php76,669",Agnostic,BSCS,Regular,No,Yes,No,Public,STEM,No
a.campbell@gmail.com,Male,No,18 years old,Widower,Yes,26 years and above,Sumilang,"Between Php21,195 to Php43,838",Protestant/Pentecostal,BSA,Irregular,No,No,No,Public,HUMSS,No
a.clark@gmail.com,Male,No,23 years old,Single,Yes,11 - 15 years,Kalawaan,"Between Php9,520 to Php21,194",No Religion,BSBA,Regular,No,No,Yes,Private,Sports Track,No
a.davis@gmail.com,Male,No,20 years old,Living with Partner,No,less than 1 year,Bulacan,"Between Php43,839 to Php76,669",Islam,BSHM,Regular,No,No,No,Public,ABM,No
a.flores@gmail.com,Male,No,18 years old,Widower,Yes,less than 1 year,Sumilang,"Between Php43,839 to Php76,669",World Mission Society Church of God,BSA,Regular,No,No,No,Public,TVL Track,No
a.garcia@gmail.com,Female,No,22 years old,Single,Yes,16 - 20 years,Palatiw,"Less than Php9,520",LDS Mormon,ABPSYCH,Regular,Yes,No,No,Private,STEM,No
a.gonzalez@gmail.com,Male,No,22 years old,Single,Yes,21 - 25 years,Manggahan,"Between Php43,839 to Php76,669",Methodist,BSBA,Regular,No,Yes,No,Private,HUMSS,No
a.green@gmail.com,Female,No,19 years old,Widower,Yes,21 - 25 years,Manggahan,"Less than Php9,520",Jehovah's Witness,BSED-FIL,Regular,Yes,No,No,Public,TVL Track,Yes
a.hall@gmail.com,Female,No,20 years old,Separated,Yes,11 - 15 years,Bambang,"Less than Php9,520",Undetermined,BSIT,Regular,Yes,No,No,Public,GAS,No
