email,sex,isLGBTQIA,age,civilStatus,isPasigueno,yearsInPasig,barangay,familyMonthlyIncome,religion,curricularProgram,academicStatus,workingStudent,deansLister,presidentsLister,feederSchool,strandInSHS,isPWD
a.adams@gmail.com,Male,No,19 years old,Widower,Yes,1 - 5 years,Oranbo,"Between Php21,195 to Php43,838",Protestant/Pentecostal,BSECE,Regular,No,No,No,Public,ABM,No
a.anderson@gmail.com,Female,Yes,21 years old,Single,Yes,less than 1 year,Pinagbuhatan,"Between Php9,520 to Php21,194",Seventh-Day Adventist,BSHM,Regular,Yes,No,No,Private,HUMSS,No
a.brown@gmail.com,Male,No,20 years old,Separated,Yes,6 - 10 years,San Antonio,"Less than Php9,520",World Mission Society Church of God,BSED-MATH,Irregular,Yes,Yes,No,Public,TVL Track,No
a.campbell@gmail.com,Female,No,23 years old,Widower,Yes,less than 1 year,Sumilang,"Less than Php9,520",Aglipay,ABPSYCH,Regular,No,Yes,No,Public,STEM,No
a.clark@gmail.com,Female,No,23 years old,Separated,Yes,less than 1 year,Santo Tomas,"Between Php9,520 to Php21,194",Members Church of God International,BSA,Regular,No,No,No,Private,STEM,No
a.davis@gmail.com,Female,Yes,25 years old and above,Separated,Yes,16 - 20 years,San Miguel,"Between Php43,839 to Php76,669",Baptist,BSIT,Regular,No,No,No,Public,ABM,No
a.flores@gmail.com,Female,No,23 years old,Single Parent,No,less than 1 year,Teresa,"Between Php9,520 to Php21,194",Protestant/Pentecostal,BSA,Regular,Yes,No,No,Private,GAS,No
a.garcia@gmail.com,Female,No,23 years old,Single Parent,Yes,16 - 20 years,Maybunga,"From Php219,140 and up",Seventh-Day Adventist,BSN,Regular,Yes,No,No,Public,HUMSS,Yes
a.gonzalez@gmail.com,Female,No,23 years old,Separated,No,less than 1 year,Taguig City,"Between Php76,670 to Php131,484",Baptist,BSIT,Regular,Yes,No,No,Public,STEM,No
a.green@gmail.com,Male,No,19 years old,Single,Yes,6 - 10 years,Pinagbuhatan,"Between Php76,670 to Php131,484",LDS Mormon,BSCS,Regular,No,No,No,Public,ABM,No
a.hall@gmail.com,Female,No,22 years old,Married,Yes,6 - 10 years,Pineda,"Less than Php9,520",No Religion,BSIT,Regular,Yes,No,No,Public,GAS,No
